Unnamed: 0,period,time,x,y,z,possession_start,possession_end,possession_number,scored,x_bin,y_bin
60396,3,322.72,50.93241,11.60976,1.12781,324.0,314.0,100001,0,10,2
60402,3,322.48,47.45657,11.22082,4.21038,324.0,314.0,100001,0,10,2
60221,3,323.92,74.99309,12.59294,3.09604,324.0,314.0,100001,0,15,2
60193,3,319.24,26.01356,7.20246,2.39625,324.0,314.0,100001,0,5,1
60194,3,319.2,26.33551,7.17018,2.89698,324.0,314.0,100001,0,5,1
60436,3,321.12,25.39798,10.83023,2.10153,324.0,314.0,100001,0,5,2
60184,3,319.6,24.43359,6.52424,3.49056,324.0,314.0,100001,0,5,1
60195,3,319.16,26.34938,7.11484,3.24526,324.0,314.0,100001,0,5,1
60081,3,323.72,70.53236,11.42145,3.57392,324.0,314.0,100001,0,15,2
60514,3,318.0,30.54489,12.52669,3.06937,324.0,314.0,100001,0,6,2
60265,3,322.16,42.30937,11.61635,4.54203,324.0,314.0,100001,0,9,2
60479,3,319.4,25.47422,7.13621,0.43638,324.0,314.0,100001,0,5,1
60141,3,321.32,28.22676,11.46758,2.93713,324.0,314.0,100001,0,6,2
60260,3,322.36,45.63178,11.26553,4.55838,324.0,314.0,100001,0,9,2
60118,3,322.24,43.67069,11.47168,4.71008,324.0,314.0,100001,0,9,2
60109,3,322.6,49.32329,11.91552,2.17592,324.0,314.0,100001,0,10,2
60433,3,321.24,26.6393,11.10754,0.96621,324.0,314.0,100001,0,5,2
60193,3,319.24,26.01356,7.20246,2.39625,324.0,314.0,100001,0,5,1
60514,3,318.0,30.54489,12.52669,3.06937,324.0,314.0,100001,0,6,2
60197,3,319.08,26.57383,7.45141,3.76045,324.0,314.0,100001,0,5,1
60432,3,321.28,27.44509,11.25054,2.05801,324.0,314.0,100001,0,5,2
60209,3,318.6,28.26382,9.15199,1.74002,324.0,314.0,100001,0,6,1
60171,3,320.12,22.47725,8.14388,0.83343,324.0,314.0,100001,0,4,1
60114,3,322.4,46.28635,11.23492,4.53033,324.0,314.0,100001,0,9,2
60103,3,322.84,53.73915,12.58612,1.20231,324.0,314.0,100001,0,11,2
60330,3,319.56,24.58386,6.88634,3.26198,324.0,314.0,100001,0,5,1
60435,3,321.16,25.71073,10.92776,1.40886,324.0,314.0,100001,0,5,2
60246,3,322.92,56.3736,11.88354,2.57215,324.0,314.0,100001,0,11,2
60572,3,315.68,12.70015,35.86544,7.78117,324.0,314.0,100001,0,2,7
60238,3,323.24,62.38783,12.27668,3.6519,324.0,314.0,100001,0,13,2
60078,3,323.84,73.53417,12.79462,2.35569,324.0,314.0,100001,0,15,2
60221,3,323.92,74.99309,12.59294,3.09604,324.0,314.0,100001,0,15,2
60530,3,317.36,30.18174,20.68136,2.90911,324.0,314.0,100001,0,6,4
60236,3,323.32,63.36655,11.91939,3.17353,324.0,314.0,100001,0,13,2
60517,3,317.88,30.88697,14.41846,1.52436,324.0,314.0,100001,0,6,2
