,period,time,x,y,z,possession_start,possession_end,possession_number,scored,x_bin,y_bin
25520,1,41.1,82.53511,25.47693,0.62152,51.0,35.0,27,0,17,5
25521,1,41.06,82.76066,25.61366,0.50628,51.0,35.0,27,0,17,5
25522,1,41.02,82.99982,25.75038,0.39104,51.0,35.0,27,0,17,5
25523,1,40.98,83.16942,25.73368,0.413,51.0,35.0,27,0,17,5
25524,1,40.94,83.05816,25.95835,0.2616,51.0,35.0,27,0,17,5
25525,1,40.9,83.08558,25.97326,0.26257,51.0,35.0,27,0,17,5
25526,1,40.86,83.21572,25.9778,0.26933,51.0,35.0,27,0,17,5
25527,1,40.82,83.27232,25.98298,0.25676,51.0,35.0,27,0,17,5
25528,1,40.78,83.32023,25.98822,0.22534,51.0,35.0,27,0,17,5
25529,1,40.74,83.35875,25.99426,0.18449,51.0,35.0,27,0,17,5
25530,1,40.7,83.38716,26.00185,0.14364,51.0,35.0,27,0,17,5
25531,1,40.66,83.40473,26.01171,0.11222,51.0,35.0,27,0,17,5
25532,1,40.62,83.41075,26.02458,0.09965,51.0,35.0,27,0,17,5
25533,1,40.58,83.37721,26.05632,0.50697,51.0,35.0,27,0,17,5
25534,1,40.54,83.34368,26.08806,0.91429,51.0,35.0,27,0,17,5
25535,1,40.5,83.31014,26.11979,1.32162,51.0,35.0,27,0,17,5
25536,1,40.46,83.20884,26.2248,1.2412,51.0,35.0,27,0,17,5
25537,1,40.42,83.0356,26.41835,1.0643,51.0,35.0,27,0,17,5
25538,1,40.38,82.83923,26.66165,0.88739,51.0,35.0,27,0,17,5
25539,1,40.34,82.66856,26.91592,0.80698,51.0,35.0,27,0,17,5
25540,1,40.3,82.53729,27.20979,1.07547,51.0,35.0,27,0,17,5
25541,1,40.26,82.31842,27.32652,1.29586,51.0,35.0,27,0,17,5
25542,1,40.22,81.91749,27.2339,1.50138,51.0,35.0,27,0,17,5
25543,1,40.18,81.53516,27.14128,1.61108,51.0,35.0,27,0,17,5
25544,1,40.14,81.38695,27.16616,1.55851,51.0,35.0,27,0,17,5
25545,1,40.1,81.18321,27.13021,1.56123,51.0,35.0,27,0,17,5
25546,1,40.06,81.11285,27.08064,1.79548,51.0,35.0,27,0,17,5
25547,1,40.02,80.96967,26.74115,2.15074,51.0,35.0,27,0,17,5
25548,1,39.98,81.26204,26.75011,2.04927,51.0,35.0,27,0,17,5
25549,1,39.94,81.37997,26.32645,2.08716,51.0,35.0,27,0,17,5
25550,1,39.9,81.54873,25.73283,2.58213,51.0,35.0,27,0,17,5
25551,1,39.86,82.04701,25.33621,3.07955,51.0,35.0,27,0,17,5
25552,1,39.82,82.17423,25.38614,3.67492,51.0,35.0,27,0,17,5
25553,1,39.78,82.70893,25.78391,4.51064,51.0,35.0,27,0,17,5
25554,1,39.74,82.80357,25.05812,6.89985,51.0,35.0,27,0,17,5
25555,1,39.7,82.59839,25.41906,7.65036,51.0,35.0,27,0,17,5
25556,1,39.66,82.56112,25.74897,8.21127,51.0,35.0,27,0,17,5
25557,1,39.62,82.92513,26.03866,8.57878,51.0,35.0,27,0,17,5
25558,1,39.58,83.05474,26.02642,8.89057,51.0,35.0,27,0,17,5
25559,1,39.54,84.15435,25.56052,8.29997,51.0,35.0,27,0,17,5
25560,1,39.5,84.34488,25.73614,8.3865,51.0,35.0,27,0,17,5
25561,1,39.46,84.29288,25.73613,8.45942,51.0,35.0,27,0,17,5
25562,1,39.42,84.40632,25.87639,8.43016,51.0,35.0,27,0,17,5
25563,1,39.38,84.52272,25.80925,8.86719,51.0,35.0,27,0,17,5
25564,1,39.34,84.54631,25.6041,9.30847,51.0,35.0,27,0,17,5
25565,1,39.3,84.8906,25.83128,9.48333,51.0,35.0,27,0,18,5
25566,1,39.26,85.35821,26.09977,9.63892,51.0,35.0,27,0,18,5
25567,1,39.22,85.59096,26.15365,9.92128,51.0,35.0,27,0,18,5
25568,1,39.18,85.87069,26.11538,10.22276,51.0,35.0,27,0,18,5
25569,1,39.14,86.16897,26.04751,10.49374,51.0,35.0,27,0,18,5
25570,1,39.1,86.46321,25.98227,10.68331,51.0,35.0,27,0,18,5
25571,1,39.06,86.81607,26.0149,10.64772,51.0,35.0,27,0,18,5
25572,1,39.02,87.12132,25.92019,10.84334,51.0,35.0,27,0,18,5
25573,1,38.98,87.4115,25.78865,10.98218,51.0,35.0,27,0,18,5
25574,1,38.94,87.70034,25.8764,10.79261,51.0,35.0,27,0,18,5
25575,1,38.9,87.90809,25.69319,10.86609,51.0,35.0,27,0,18,5
25576,1,38.86,88.15173,25.42548,10.95609,51.0,35.0,27,0,18,5
25577,1,38.82,88.5775,25.69925,10.39957,51.0,35.0,27,0,18,5
25578,1,38.78,88.86731,25.7229,10.15588,51.0,35.0,27,0,18,5
25579,1,38.74,89.07964,25.54986,10.02567,51.0,35.0,27,0,18,5
25580,1,38.7,89.07236,25.41274,10.0615,51.0,35.0,27,0,18,5
25581,1,38.66,89.04962,25.23963,10.16296,51.0,35.0,27,0,18,5
