run_id,profile,scope,config_id,design,varied_parameter,varied_value,n_bootstraps,possessions_per_bootstrap,samples_per_possession,source_possessions,status,elapsed_seconds,lambda_qut,lambda_max_obs,lambda_ci_low,lambda_ci_high,p_value,reject_qut,error,simulation_tag,run_seed
reference__full_game__config_08,reference,full_game,8,one_factor_sweep,samples_per_possession,150.0,100,1000,150,920,ok,14.999737399997684,17.4575564237257,62.70237511946375,52.986102624332354,69.39196371819203,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,150
reference__quarter_1__config_08,reference,quarter_1,8,one_factor_sweep,samples_per_possession,150.0,100,1000,150,230,ok,14.923399200000858,16.724095709457234,76.91498113759306,66.14823776137536,83.32307931962018,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,150
reference__quarter_2__config_08,reference,quarter_2,8,one_factor_sweep,samples_per_possession,150.0,100,1000,150,230,ok,14.864319399999658,16.421132943362604,57.99639858105069,50.8641944761203,69.28746026618299,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,150
reference__quarter_3__config_08,reference,quarter_3,8,one_factor_sweep,samples_per_possession,150.0,100,1000,150,230,ok,15.054217700002482,17.13013051970805,50.88540790236454,46.23522569332147,65.94478876861258,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,150
reference__quarter_4__config_08,reference,quarter_4,8,one_factor_sweep,samples_per_possession,150.0,100,1000,150,230,ok,14.980617900000652,16.27879541204225,74.36793558067173,59.181203363263535,79.19161771813222,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,150
reference__full_game__config_09,reference,full_game,9,one_factor_sweep,samples_per_possession,250.0,100,1000,250,920,ok,16.53024269999878,18.20811176552139,58.78141064000617,55.41049012448307,74.41977521206674,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,151
reference__quarter_1__config_09,reference,quarter_1,9,one_factor_sweep,samples_per_possession,250.0,100,1000,250,230,ok,16.521353399999498,17.504145325769336,85.28232661551272,70.43815638385553,89.51840513228285,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,151
reference__quarter_2__config_09,reference,quarter_2,9,one_factor_sweep,samples_per_possession,250.0,100,1000,250,230,ok,16.481107799998426,16.059169275176004,63.87114058087209,55.61596800659935,74.51890991615117,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,151
reference__quarter_3__config_09,reference,quarter_3,9,one_factor_sweep,samples_per_possession,250.0,100,1000,250,230,ok,16.5111109999998,17.19154769793997,60.17020793018509,48.42921570547759,69.96578915962738,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,151
reference__quarter_4__config_09,reference,quarter_4,9,one_factor_sweep,samples_per_possession,250.0,100,1000,250,230,ok,16.521684799998184,17.88832638509352,71.40617933949191,66.46413819492834,82.40110811850326,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,151
reference__full_game__config_10,reference,full_game,10,individual_profile_like,,,100,10000,150,920,ok,200.3105756,45.701963372564336,597.0550069757187,564.9555128260298,622.8376639288388,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,152
reference__quarter_1__config_10,reference,quarter_1,10,individual_profile_like,,,100,10000,150,230,ok,200.134043,49.90011112077611,748.2408963489739,714.651511972309,776.9996318332073,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,152
reference__quarter_2__config_10,reference,quarter_2,10,individual_profile_like,,,100,10000,150,230,ok,129.30169650000016,46.60051690748725,593.4363664800248,564.9973267793855,615.0293513283613,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,152
reference__quarter_3__config_10,reference,quarter_3,10,individual_profile_like,,,100,10000,150,230,ok,126.80623280000007,45.97920640488245,549.5932869377059,521.4727548441464,582.7235252656404,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,152
reference__quarter_4__config_10,reference,quarter_4,10,individual_profile_like,,,100,10000,150,230,ok,126.8088359000003,48.28630960486761,655.2731629143236,641.9816740930243,702.8407365134657,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,152
high_y_side__full_game__config_00,high_y_side,full_game,0,baseline,,,100,1000,200,920,ok,39.05840499999999,17.150627565280626,103.1207227369751,83.36468238487556,102.2967332103474,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,142
high_y_side__quarter_1__config_00,high_y_side,quarter_1,0,baseline,,,100,1000,200,230,ok,42.1402463999998,16.714824929762415,109.8693426429875,94.33096052714788,111.84592615171763,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,142
high_y_side__quarter_2__config_00,high_y_side,quarter_2,0,baseline,,,100,1000,200,230,ok,52.4173760000001,15.908479135558606,107.05272641559108,92.59880441249412,110.59451424932232,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,142
high_y_side__quarter_3__config_00,high_y_side,quarter_3,0,baseline,,,100,1000,200,230,ok,53.63228449999997,17.352516962530842,81.88765572879848,68.07375249530246,87.12896339688092,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,142
