run_id,profile,scope,config_id,design,n_bootstraps,possessions_per_bootstrap,samples_per_possession,lambda_qut,map_status,spatial_correlation,standardized_rmse,recovered_dynamic_range,error
perimeter__quarter_1__config_02,perimeter,quarter_1,2,one_factor_sweep,50,1000,200,15.125233171424098,ok,0.7580696320150968,0.7051828331402523,0.21575643867254257,
perimeter__quarter_2__config_02,perimeter,quarter_2,2,one_factor_sweep,50,1000,200,13.75332947886238,ok,0.770294490837234,0.7024263546864761,0.3428597398102283,
perimeter__quarter_3__config_02,perimeter,quarter_3,2,one_factor_sweep,50,1000,200,13.165980807945564,ok,0.6953651695696136,0.8087178861641735,0.2667897131294002,
perimeter__quarter_4__config_02,perimeter,quarter_4,2,one_factor_sweep,50,1000,200,13.41339602141136,ok,0.8517130156394358,0.5593662293136747,0.3983214199542999,
perimeter__full_game__config_03,perimeter,full_game,3,one_factor_sweep,500,1000,200,14.114433369503768,ok,0.8339217688131593,0.5912207830497193,0.30560730397701263,
perimeter__quarter_1__config_03,perimeter,quarter_1,3,one_factor_sweep,500,1000,200,15.749383781363507,ok,0.631610439579,0.9196416187925063,0.16126351840794087,
perimeter__quarter_2__config_03,perimeter,quarter_2,3,one_factor_sweep,500,1000,200,14.66737095594836,ok,0.8269906771223561,0.6052540895217476,0.23902595713734626,
perimeter__quarter_3__config_03,perimeter,quarter_3,3,one_factor_sweep,500,1000,200,12.295586526974716,ok,0.7984606121086101,0.6427663179818132,0.2549565270543092,
perimeter__quarter_4__config_03,perimeter,quarter_4,3,one_factor_sweep,500,1000,200,15.817543910733916,ok,0.8971810386377631,0.4554111843582372,0.4327024668455124,
perimeter__full_game__config_04,perimeter,full_game,4,one_factor_sweep,100,100,200,4.991554888797283,ok,0.2108343182612641,1.4562642575037785,0.027176376432180405,
perimeter__quarter_1__config_04,perimeter,quarter_1,4,one_factor_sweep,100,100,200,4.510803039709338,ok,0.22994099044323887,1.3128548748704636,0.0010312274098396301,
perimeter__quarter_2__config_04,perimeter,quarter_2,4,one_factor_sweep,100,100,200,4.983584867892252,ok,0.24556556622335868,1.2699669567186247,0.059516642708331347,
perimeter__quarter_3__config_04,perimeter,quarter_3,4,one_factor_sweep,100,100,200,4.838875326804555,ok,-0.08099426893576984,1.6667586647481332,3.725290298461914e-09,
perimeter__quarter_4__config_04,perimeter,quarter_4,4,one_factor_sweep,100,100,200,4.874141995146438,ok,0.5847198571065844,0.9182112508458122,1.6763806343078613e-08,
perimeter__full_game__config_05,perimeter,full_game,5,one_factor_sweep,100,10000,200,47.40064536464455,ok,0.8739258991808662,0.5169774699478574,0.48120748549699777,
